age,gender,annual_income,n_people
20,Female,22000,1010
20,Male,21000,830
21,Female,24100,1040
21,Male,23300,850
22,Female,26100,1080
22,Male,25500,880
23,Female,28100,1100
23,Male,27600,920
24,Female,29900,1120
24,Male,29700,950
25,Female,31700,1130
25,Male,31600,990
26,Female,33300,1130
26,Male,33500,1030
27,Female,34800,1120
27,Male,35200,1060
28,Female,36200,1120
28,Male,36900,1090
29,Female,37500,1110
29,Male,38400,1120
30,Female,38700,1100
30,Male,39900,1140
31,Female,39800,1090
31,Male,41300,1160
32,Female,40700,1090
32,Male,42500,1170
33,Female,41600,1090
33,Male,43700,1180
34,Female,42400,1100
34,Male,44700,1180
35,Female,43100,1110
35,Male,45700,1170
36,Female,43700,1130
36,Male,46600,1170
37,Female,44200,1150
37,Male,47400,1160
38,Female,44700,1160
38,Male,48100,1140
39,Female,45100,1180
39,Male,48700,1130
40,Female,45400,1190
40,Male,49200,1110
41,Female,45800,1190
41,Male,49700,1100
42,Female,46000,1190
42,Male,50100,1090
43,Female,46300,1180
43,Male,50500,1080
44,Female,46500,1160
44,Male,50700,1070
45,Female,46700,1140
45,Male,50900,1060
46,Female,46800,1110
46,Male,51100,1060
47,Female,46900,1070
47,Male,51200,1060
48,Female,47000,1040
48,Male,51200,1060
49,Female,47000,1010
49,Male,51200,1070
50,Female,46900,970
50,Male,51100,1070
51,Female,46800,950
51,Male,51000,1070
52,Female,46600,930
52,Male,50800,1080
53,Female,46400,910
53,Male,50600,1070
54,Female,46000,900
54,Male,50300,1070
55,Female,45600,900
55,Male,49900,1060
56,Female,45000,900
56,Male,49400,1040
57,Female,44400,900
57,Male,48900,1020
58,Female,43600,900
58,Male,48300,1000
59,Female,42800,890
59,Male,47700,970
60,Female,41800,880
60,Male,46900,940
61,Female,40700,870
61,Male,46100,900
62,Female,39500,850
62,Male,45100,860
63,Female,38200,820
63,Male,44100,830
64,Female,36800,790
64,Male,43000,790
65,Female,35200,760
65,Male,41800,750
