country,year,group,income_share
France,1980,bottom50,0.2266
France,1980,top10,0.2876
France,1981,bottom50,0.2276
France,1981,top10,0.2854
France,1982,bottom50,0.2285
France,1982,top10,0.2826
France,1983,bottom50,0.2277
France,1983,top10,0.2833
France,1984,bottom50,0.2259
France,1984,top10,0.285
France,1985,bottom50,0.2261
France,1985,top10,0.2891
France,1986,bottom50,0.2239
France,1986,top10,0.2978
France,1987,bottom50,0.223
France,1987,top10,0.3032
France,1988,bottom50,0.2225
France,1988,top10,0.3078
France,1989,bottom50,0.2176
France,1989,top10,0.315
France,1990,bottom50,0.2153
France,1990,top10,0.3156
France,1991,bottom50,0.2194
France,1991,top10,0.3107
France,1992,bottom50,0.2168
France,1992,top10,0.3077
France,1993,bottom50,0.215
France,1993,top10,0.3065
France,1994,bottom50,0.2128
France,1994,top10,0.312
France,1995,bottom50,0.2131
France,1995,top10,0.3132
France,1996,bottom50,0.2105
France,1996,top10,0.3222
France,1997,bottom50,0.2073
France,1997,top10,0.3262
France,1998,bottom50,0.2054
France,1998,top10,0.3329
France,1999,bottom50,0.2061
France,1999,top10,0.3325
France,2000,bottom50,0.2054
France,2000,top10,0.3359
France,2001,bottom50,0.2067
France,2001,top10,0.3378
France,2002,bottom50,0.2037
France,2002,top10,0.3361
France,2003,bottom50,0.2019
France,2003,top10,0.3375
France,2004,bottom50,0.1994
France,2004,top10,0.3431
France,2005,bottom50,0.2
France,2005,top10,0.3426
France,2006,bottom50,0.2021
France,2006,top10,0.3403
France,2007,bottom50,0.1985
France,2007,top10,0.3492
France,2008,bottom50,0.1979
France,2008,top10,0.352
France,2009,bottom50,0.2032
France,2009,top10,0.333
France,2010,bottom50,0.2023
France,2010,top10,0.3381
France,2011,bottom50,0.2043
France,2011,top10,0.3392
France,2012,bottom50,0.2082
France,2012,top10,0.3292
France,2013,bottom50,0.2092
France,2013,top10,0.3233
France,2014,bottom50,0.2112
France,2014,top10,0.3249
France,2015,bottom50,0.2055
France,2015,top10,0.3334
France,2016,bottom50,0.2065
France,2016,top10,0.3338
France,2017,bottom50,0.2059
France,2017,top10,0.3364
France,2018,bottom50,0.2034
France,2018,top10,0.3433
France,2019,bottom50,0.2048
France,2019,top10,0.3406
France,2020,bottom50,0.2055
France,2020,top10,0.3384
France,2021,bottom50,0.2026
France,2021,top10,0.349
France,2022,bottom50,0.2034
France,2022,top10,0.344
France,2023,bottom50,0.203
France,2023,top10,0.3403
France,2024,bottom50,0.203
France,2024,top10,0.3403
Germany,1980,bottom50,0.2325
Germany,1980,top10,0.286
Germany,1981,bottom50,0.2338
Germany,1981,top10,0.2814
Germany,1982,bottom50,0.236
Germany,1982,top10,0.2804
Germany,1983,bottom50,0.2342
