country;variable;percentile;year;value;age;pop;data_quality
FR;sptincj992;p0p50;1980;0.2266;992;j;5
FR;sptincj992;p90p100;1980;0.2876;992;j;5
FR;sptincj992;p0p50;1981;0.2276;992;j;5
FR;sptincj992;p90p100;1981;0.2854;992;j;5
FR;sptincj992;p0p50;1982;0.2285;992;j;5
FR;sptincj992;p90p100;1982;0.2826;992;j;5
FR;sptincj992;p0p50;1983;0.2277;992;j;5
FR;sptincj992;p90p100;1983;0.2833;992;j;5
FR;sptincj992;p0p50;1984;0.2259;992;j;5
FR;sptincj992;p90p100;1984;0.285;992;j;5
FR;sptincj992;p0p50;1985;0.2261;992;j;5
FR;sptincj992;p90p100;1985;0.2891;992;j;5
FR;sptincj992;p0p50;1986;0.2239;992;j;5
FR;sptincj992;p90p100;1986;0.2978;992;j;5
FR;sptincj992;p0p50;1987;0.223;992;j;5
FR;sptincj992;p90p100;1987;0.3032;992;j;5
FR;sptincj992;p0p50;1988;0.2225;992;j;5
FR;sptincj992;p90p100;1988;0.3078;992;j;5
FR;sptincj992;p0p50;1989;0.2176;992;j;5
FR;sptincj992;p90p100;1989;0.315;992;j;5
FR;sptincj992;p0p50;1990;0.2153;992;j;5
FR;sptincj992;p90p100;1990;0.3156;992;j;5
FR;sptincj992;p0p50;1991;0.2194;992;j;5
FR;sptincj992;p90p100;1991;0.3107;992;j;5
FR;sptincj992;p0p50;1992;0.2168;992;j;5
FR;sptincj992;p90p100;1992;0.3077;992;j;5
FR;sptincj992;p0p50;1993;0.215;992;j;5
FR;sptincj992;p90p100;1993;0.3065;992;j;5
FR;sptincj992;p0p50;1994;0.2128;992;j;5
FR;sptincj992;p90p100;1994;0.312;992;j;5
FR;sptincj992;p0p50;1995;0.2131;992;j;5
FR;sptincj992;p90p100;1995;0.3132;992;j;5
FR;sptincj992;p0p50;1996;0.2105;992;j;5
FR;sptincj992;p90p100;1996;0.3222;992;j;5
FR;sptincj992;p0p50;1997;0.2073;992;j;5
FR;sptincj992;p90p100;1997;0.3262;992;j;5
FR;sptincj992;p0p50;1998;0.2054;992;j;5
FR;sptincj992;p90p100;1998;0.3329;992;j;5
FR;sptincj992;p0p50;1999;0.2061;992;j;5
FR;sptincj992;p90p100;1999;0.3325;992;j;5
FR;sptincj992;p0p50;2000;0.2054;992;j;5
FR;sptincj992;p90p100;2000;0.3359;992;j;5
FR;sptincj992;p0p50;2001;0.2067;992;j;5
FR;sptincj992;p90p100;2001;0.3378;992;j;5
FR;sptincj992;p0p50;2002;0.2037;992;j;5
FR;sptincj992;p90p100;2002;0.3361;992;j;5
FR;sptincj992;p0p50;2003;0.2019;992;j;5
FR;sptincj992;p90p100;2003;0.3375;992;j;5
FR;sptincj992;p0p50;2004;0.1994;992;j;5
FR;sptincj992;p90p100;2004;0.3431;992;j;5
FR;sptincj992;p0p50;2005;0.2;992;j;5
FR;sptincj992;p90p100;2005;0.3426;992;j;5
FR;sptincj992;p0p50;2006;0.2021;992;j;5
FR;sptincj992;p90p100;2006;0.3403;992;j;5
FR;sptincj992;p0p50;2007;0.1985;992;j;5
FR;sptincj992;p90p100;2007;0.3492;992;j;5
FR;sptincj992;p0p50;2008;0.1979;992;j;5
FR;sptincj992;p90p100;2008;0.352;992;j;5
FR;sptincj992;p0p50;2009;0.2032;992;j;5
FR;sptincj992;p90p100;2009;0.333;992;j;5
FR;sptincj992;p0p50;2010;0.2023;992;j;5
FR;sptincj992;p90p100;2010;0.3381;992;j;5
FR;sptincj992;p0p50;2011;0.2043;992;j;5
FR;sptincj992;p90p100;2011;0.3392;992;j;5
FR;sptincj992;p0p50;2012;0.2082;992;j;5
FR;sptincj992;p90p100;2012;0.3292;992;j;5
FR;sptincj992;p0p50;2013;0.2092;992;j;5
FR;sptincj992;p90p100;2013;0.3233;992;j;5
FR;sptincj992;p0p50;2014;0.2112;992;j;5
FR;sptincj992;p90p100;2014;0.3249;992;j;5
FR;sptincj992;p0p50;2015;0.2055;992;j;5
FR;sptincj992;p90p100;2015;0.3334;992;j;5
FR;sptincj992;p0p50;2016;0.2065;992;j;5
FR;sptincj992;p90p100;2016;0.3338;992;j;5
FR;sptincj992;p0p50;2017;0.2059;992;j;5
FR;sptincj992;p90p100;2017;0.3364;992;j;5
FR;sptincj992;p0p50;2018;0.2034;992;j;5
FR;sptincj992;p90p100;2018;0.3433;992;j;5
FR;sptincj992;p0p50;2019;0.2048;992;j;4
FR;sptincj992;p90p100;2019;0.3406;992;j;4
FR;sptincj992;p0p50;2020;0.2055;992;j;4
FR;sptincj992;p90p100;2020;0.3384;992;j;4
FR;sptincj992;p0p50;2021;0.2026;992;j;4
FR;sptincj992;p90p100;2021;0.349;992;j;4
FR;sptincj992;p0p50;2022;0.2034;992;j;4
FR;sptincj992;p90p100;2022;0.344;992;j;4
FR;sptincj992;p0p50;2023;0.203;992;j;4
FR;sptincj992;p90p100;2023;0.3403;992;j;4
FR;sptincj992;p0p50;2024;0.203;992;j;4
FR;sptincj992;p90p100;2024;0.3403;992;j;4
DE;sptincj992;p0p50;1980;0.2325;992;j;4
DE;sptincj992;p90p100;1980;0.286;992;j;4
DE;sptincj992;p0p50;1981;0.2338;992;j;4
DE;sptincj992;p90p100;1981;0.2814;992;j;4
DE;sptincj992;p0p50;1982;0.236;992;j;4
DE;sptincj992;p90p100;1982;0.2804;992;j;4
DE;sptincj992;p0p50;1983;0.2342;992;j;4
DE;sptincj992;p90p100;1983;0.2847;992;j;4
DE;sptincj992;p0p50;1984;0.237;992;j;4
DE;sptincj992;p90p100;1984;0.2849;992;j;4
DE;sptincj992;p0p50;1985;0.2359;992;j;4
DE;sptincj992;p90p100;1985;0.2871;992;j;4
DE;sptincj992;p0p50;1986;0.2334;992;j;4
DE;sptincj992;p90p100;1986;0.2937;992;j;4
DE;sptincj992;p0p50;1987;0.2304;992;j;4
DE;sptincj992;p90p100;1987;0.3015;992;j;4
DE;sptincj992;p0p50;1988;0.2239;992;j;4
DE;sptincj992;p90p100;1988;0.3159;992;j;4
DE;sptincj992;p0p50;1989;0.2177;992;j;4
DE;sptincj992;p90p100;1989;0.3246;992;j;4
DE;sptincj992;p0p50;1990;0.2162;992;j;4
DE;sptincj992;p90p100;1990;0.3255;992;j;4
DE;sptincj992;p0p50;1991;0.221;992;j;4
DE;sptincj992;p90p100;1991;0.3149;992;j;4
DE;sptincj992;p0p50;1992;0.224;992;j;4
DE;sptincj992;p90p100;1992;0.3096;992;j;4
DE;sptincj992;p0p50;1993;0.2273;992;j;4
DE;sptincj992;p90p100;1993;0.3043;992;j;4
DE;sptincj992;p0p50;1994;0.229;992;j;4
DE;sptincj992;p90p100;1994;0.2997;992;j;4
DE;sptincj992;p0p50;1995;0.2309;992;j;4
DE;sptincj992;p90p100;1995;0.2979;992;j;4
